pnt1,pnt2,pnt3,pnt4
[30.731150108132034, 114.21106824846075],[30.73072762352457, 114.21125932978109],[30.730689407260503, 114.2111748328596],[30.731111891867968, 114.21098375153926]
[30.722525720435616, 114.21520756583381],[30.722108258903177, 114.21540938551436],[30.72206789496707, 114.21532589320788],[30.722485356499508, 114.21512407352732]
[30.72210825890318, 114.21540938551436],[30.72169079737074, 114.21561120519493],[30.721650433434625, 114.21552771288844],[30.722067894967065, 114.21532589320788]
[30.721690797370737, 114.21561120519493],[30.7212733358383, 114.21581302487549],[30.721232971902193, 114.215729532569],[30.72165043343463, 114.21552771288844]
[30.721273335838305, 114.21581302487549],[30.720855874305865, 114.21601484455606],[30.72081551036975, 114.21593135224957],[30.72123297190219, 114.215729532569]
[30.72085587430586, 114.21601484455606],[30.720438412773422, 114.21621666423661],[30.720398048837314, 114.21613317193012],[30.720815510369754, 114.21593135224957]
[30.720438412773426, 114.21621666423661],[30.720020951240986, 114.21641848391718],[30.71998058730487, 114.2163349916107],[30.72039804883731, 114.21613317193012]
[30.720020951240983, 114.21641848391718],[30.719603489708543, 114.21662030359774],[30.719563125772435, 114.21653681129125],[30.719980587304875, 114.2163349916107]
[30.719603489708547, 114.21662030359774],[30.719186028176107, 114.2168221232783],[30.719145664239992, 114.21673863097182],[30.71956312577243, 114.21653681129125]
[30.719186028176107, 114.2168221232783],[30.71876856664367, 114.21702394295887],[30.718728202707556, 114.21694045065239],[30.719145664239992, 114.21673863097182]
[30.718768566643668, 114.21702394295887],[30.71835110511123, 114.21722576263943],[30.71831074117512, 114.21714227033294],[30.71872820270756, 114.21694045065239]
[30.718351105111232, 114.21722576263943],[30.718034643539642, 114.21737875439634],[30.717994279603527, 114.21729526208985],[30.718310741175117, 114.21714227033294]
[30.718034643539642, 114.21737875439634],[30.717718181968056, 114.21753174615324],[30.71767781803194, 114.21744825384675],[30.717994279603527, 114.21729526208985]
[30.71771645090855, 114.21753253959471],[30.71746745090855, 114.21764053959471],[30.717430549091446, 114.21755546040528],[30.717679549091446, 114.21744746040528]
[30.71746885240025, 114.21763990388227],[30.71704981357752, 114.21783842788479],[30.71701010877702, 114.21775462012023],[30.71742914759975, 114.21755609611772]
[30.71704981357752, 114.21783842788479],[30.71663077475479, 114.2180369518873],[30.71659106995429, 114.21795314412275],[30.71701010877702, 114.21775462012023]
[30.716630774754794, 114.2180369518873],[30.716211735932067, 114.21823547588983],[30.71617203113156, 114.21815166812527],[30.716591069954287, 114.21795314412275]
[30.716211735932063, 114.21823547588983],[30.715792697109336, 114.21843399989234],[30.715752992308836, 114.21835019212779],[30.716172031131563, 114.21815166812527]
